topic_id	ref_id	s1	s2	anno_1	anno_2	anno_average
1	1.3.3	Zurückhaltendere Schüler beteiligen sich wieder aktiver am Unterricht	Nutzung von Twitter senkt die Hemmung vor aktiver Beteiligung am Unterricht	2	2	2
1	1.2.3	Es ist nur zeitgemäß neue Technologien in den Unterricht zu integrieren	Es liegt an den Lehrer:innen, die über Twitter geäußerten Inhalte auf nützlicher Art in den Unterricht zu integrieren	0	0	0
1	1.3.4	die Klasse wird motiviert mit zu arbeiten	Auch schüchterne Schüler:innen werden ermutigt, ihre Meinungen zu äußern	1	1	1
1	1.3.2	Der Autor argumentiert, dass Kinder sich besser konzentrieren können, wenn ihre Aufgabe z. B. auf Twitter gestellt wird.	Unterricht bleibt länger im Gedächtnis	0	0	0
1	1.4.1	Ablenkung	Schüler:innen können leicht abgelenkt werden	3	3	3
1	1.3.4	Dies ermutigt ruhigere Schüler zur Teilnahme	Auch schüchterne Schüler:innen werden ermutigt, ihre Meinungen zu äußern	3	3	3
1	1.3.5	Auch stille Schüler werden dazu animiert, beim Unterricht mitzumachen da sie sich durchs schreiben ausdrücken können	Pädagogen raten zur Auseinandersetzung mit dem medialen Wandel	0	0	0
1	1.3.3	Die Verlagerung auf textbasierte Mitwirkung am Unterricht bindet stille und gehemmte Schüler stärker ein	Nutzung von Twitter senkt die Hemmung vor aktiver Beteiligung am Unterricht	2	2	2
1	1.3.6	er nennt das praktische Beispiel, wo Twitter benutzt wurde, um die Kuba-Krise zu erklären und wo dies von den Schülern enthusiastisch aufgenommen wurde	Es gibt Erfolgsbeispiele für die Nutzung von Twitter im Unterricht, z.B. in den USA	2	2	2
1	1.3.5	Die Schüler die normalerweise schweigen würden, sich auf diese Weise an der Diskussion beteiligten	Pädagogen raten zur Auseinandersetzung mit dem medialen Wandel	0	0	0
1	1.3.7	Sonst schüchterne Schüler werden besser in die Diskussion miteingebunden	Angst vor Ablenkung ist nicht begündet, da auch Bücher ablenken können	0	0	0
1	1.4.1	Angst, dass das Internet zu doll ablenkt und den UNterricht stört	Schüler:innen können leicht abgelenkt werden	3	2	2.5
1	1.3.7	Die Schüler die normalerweise schweigen würden, sich auf diese Weise an der Diskussion beteiligten	Angst vor Ablenkung ist nicht begündet, da auch Bücher ablenken können	0	0	0
1	1.1.1	Über das Unterrichten aus der Ferne in einem Tweet	Sollen soziale Netzwerke wie Twitter als Werkzeug im Schulunterricht benutzt werden?	1	1	1
1	1.2.2	Twitter und andere Onlinemedien können eine gute Idee sein	Autor sieht in Twitter Chancen für innovative, konstruktive Unterrichtsmethoden	1	3	2
1	1.3.1	Größere Kreativität	Unterricht ist abwechslungsreicher	1	1	1
1	1.1.1	Das Thema ist Mobiltelefone und Internet beim Unterricht.	Sollen soziale Netzwerke wie Twitter als Werkzeug im Schulunterricht benutzt werden?	1	1	1
1	1.3.5	Die Schüler greifen mehr in den Unterricht über das Internet ein.	Pädagogen raten zur Auseinandersetzung mit dem medialen Wandel	0	1	0.5
